{timestep = 0.0, value = -0.0}
{timestep = 0.01, value = 9.199999999999999E-4}
{timestep = 0.02, value = 0.0876551446264}
{timestep = 0.03, value = 0.2529350388252}
{timestep = 0.04, value = 0.4052907575771}
{timestep = 0.05, value = 0.5436701196884}
{timestep = 0.06, value = 0.6667445922544}
{timestep = 0.07, value = 0.7737524823782}
{timestep = 0.08, value = 0.8644129799133}
{timestep = 0.09, value = 0.9388511363786}
{timestep = 0.1, value = 0.9975276595024}
{timestep = 0.11, value = 1.0411740233094}
{timestep = 0.12, value = 1.070733171813}
{timestep = 0.13, value = 1.0873059607802}
{timestep = 0.14, value = 1.0921033648147}
{timestep = 0.15, value = 1.0864043764319}
{timestep = 0.16, value = 1.0715194391822}
{timestep = 0.17, value = 1.048759237646}
{timestep = 0.18, value = 1.0194129298061}
{timestep = 0.19, value = 0.9847105826428}
{timestep = 0.2, value = 0.9458248578015}
{timestep = 0.21, value = 0.9038499578884}
{timestep = 0.22, value = 0.859794446912}
{timestep = 0.23, value = 0.8145707392145}
{timestep = 0.24, value = 0.7689934873042}
{timestep = 0.25, value = 0.7237783348075}
{timestep = 0.26, value = 0.6795427617674}
{timestep = 0.27, value = 0.6368086605118}
{timestep = 0.28, value = 0.5960063242}
{timestep = 0.29, value = 0.5574795541488}
{timestep = 0.3, value = 0.521491617664}
{timestep = 0.31, value = 0.488231814489}
{timestep = 0.32, value = 0.4578224365504}
{timestep = 0.33, value = 0.430325931957}
{timestep = 0.34, value = 0.4057521097745}
{timestep = 0.35, value = 0.3840652466254}
{timestep = 0.36, value = 0.3651909793792}
{timestep = 0.37, value = 0.3490228898995}
{timestep = 0.38, value = 0.3354287078523}
{timestep = 0.39, value = 0.324256075861}
{timestep = 0.4, value = 0.3153378377563}
{timestep = 0.41, value = 0.3084968253135}
{timestep = 0.42, value = 0.3035501317078}
{timestep = 0.43, value = 0.3003128709974}
{timestep = 0.44, value = 0.2986014323487}
{timestep = 0.45, value = 0.2982362455214}
{timestep = 0.46, value = 0.2990440804529}
{timestep = 0.47, value = 0.3008599087303}
{timestep = 0.48, value = 0.3035283489825}
{timestep = 0.49, value = 0.306903909066}
{timestep = 0.5, value = 0.3108547001038}
{timestep = 0.51, value = 0.3152594186019}
{timestep = 0.52, value = 0.3200088891271}
{timestep = 0.53, value = 0.3250060023311}
