time,outlet.m_flow,outlet.T,outlet.p
0,1.2300000000000000E+00,2.0000000000000000E+01,3.0000000000000000E+05
1,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
2,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
3,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
4,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
5,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
6,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
7,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
8,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
9,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
10,1.2300000000000000E+00,1.0000000000000000E+01,1.0000000000000000E+05
