"time","outlet.m_flow","outlet.T","outlet.p","der(T)"
0,3.1622775020544923E+03,0.0000000000000000E+00,1.0000000000000000E-02,1.0000000000000000E+01
1,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
2,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
3,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
4,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
5,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
6,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
7,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
8,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
9,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
10,3.1622775020544923E+03,1.0000000000000000E+01,1.0000000000000000E-02,0.0000000000000000E+00
