currentTIme	numOfReachedAirplanes
8.0	1
9.3255225409	2
11.3255225409	3
11.3255225409	4
13.3255225409	5
14.3255225409	6
15.3255225409	7
15.3255225409	8
16.3255225409	9
17.3255225409	10
18.3255225409	11
18.3255225409	12
18.3255225409	13
20.3255225409	14
21.3255225409	15
26.8064358027	16
27.4514820815	17
31.4379383512	18
36.4514820815	19
36.7767495295	20
40.7767495295	21
60.7767495295	22
62.7767495295	23
63.3255225409	24
106.7767495295	25
108.7767495295	26
110.7767495295	27
111.7767495295	28
113.7767495295	29
113.7767495295	30
117.7767495295	31
118.7767495295	32
119.7767495295	33
120.7767495295	34
121.7767495295	35
122.7767495295	36
125.7767495295	37
127.7767495295	38
127.7767495295	39
129.7767495295	40
131.7767495295	41
131.7767495295	42
133.7767495295	43
133.7767495295	44
135.7767495295	45
137.7767495295	46
137.7767495295	47
138.7767495295	48
139.7767495295	49
141.7767495295	50
150.7767495295	51
151.7767495295	52
151.7767495295	53
152.7767495295	54
152.7767495295	55
159.7767495295	56
161.7767495295	57
161.7767495295	58
161.7767495295	59
163.7767495295	60
163.7767495295	61
163.7767495295	62
165.7767495295	63
165.7767495295	64
