aircraftId	arrivalToAirport	delayInAirport	departureFromAirport
1	0.0	0.0	0.0
6	5.0299194824	0.2956030585	5.3255225409
4	3.143669637	0.1818529039	3.3255225409
7	5.6643715782	0.6611509627	6.3255225409
5	3.2168567202	1.1086658207	4.3255225409
9	6.1100480767	2.2154744642	8.3255225409
3	1.5514828083	0.7740397326	2.3255225409
2	1.3255225409	2.220446049250313E-16	1.3255225409
10	6.3978578378	2.9276647031	9.3255225409
8	5.8615222579	1.464000283	7.3255225409
16	14.1704695273	1.1550530136	15.3255225409
13	11.1441186357	1.1814039052	12.3255225409
11	8.5853688293	1.7401537116	10.3255225409
15	14.0664186398	0.2591039011	14.3255225409
14	11.4403116094	1.8852109315	13.3255225409
17	16.8064358027	0.0	16.8064358027
19	23.4514820815	0.0	23.4514820815
18	20.4379383512	0.0	20.4379383512
20	23.9450154903	0.5064665912	24.4514820815
23	27.8055392137	0.9712103158	28.7767495295
24	27.945452584	1.8312969455	29.7767495295
21	26.7767495295	0.0	26.7767495295
25	28.2418248306	28.5349246989	56.7767495295
12	9.110258097	2.2152644439	11.3255225409
22	26.8052485228	0.9715010067	27.7767495295
26	29.6477237097	28.1290258198	57.7767495295
29	29.9631597705	74.813589759	104.7767495295
27	29.6862715711	29.0904779584	58.7767495295
30	30.9785445645	77.798204965	108.7767495295
28	29.8102120162	73.9665375133	103.7767495295
31	31.718988027	78.0577615025	109.7767495295
34	35.0280229329	77.7487265966	112.7767495295
32	32.1522171317	78.6245323978	110.7767495295
33	32.6565876364	79.1201618931	111.7767495295
35	35.1727255426	79.6040239869	114.7767495295
36	35.8280448831	79.9487046464	115.7767495295
39	37.7674345115	81.009315018	118.7767495295
41	39.9831671228	80.7935824067	120.7767495295
40	38.1740186541	81.6027308754	119.7767495295
37	36.8068921259	79.9698574036	116.7767495295
42	40.9147435744	80.8620059551	121.7767495295
46	50.4204367732	75.3563127563	125.7767495295
47	51.1568054474	76.6199440821	127.7767495295
45	47.459776788	77.3169727415	124.7767495295
43	41.6948938549	81.0818556746	122.7767495295
44	46.8677844949	76.9089650346	123.7767495295
50	54.042095304	77.7346542255	131.7767495295
48	53.6983926479	75.0783568816	128.7767495295
51	54.2733636178	79.5033859117	133.7767495295
49	53.7699164801	76.0068330494	129.7767495295
54	58.548594908	79.2281546215	137.7767495295
38	37.6308955318	80.1458539977	117.7767495295
52	54.8619553372	79.9147941923	134.7767495295
53	56.1273502112	79.6493993183	135.7767495295
55	59.4123316267	86.3644179028	145.7767495295
56	59.8800289782	86.8967205513	146.7767495295
57	60.0668238826	87.7099256469	147.7767495295
61	63.831126081	87.9456234485	151.7767495295
67	73.3556198613	84.4211296682	157.7767495295
65	69.853083613	85.9236659165	155.7767495295
58	61.8140377405	86.962711789	148.7767495295
63	64.4275509335	89.349198596	153.7767495295
66	72.6281717777	84.1485777518	156.7767495295
64	67.8316332753	86.9451162542	154.7767495295
