aircraftId	arrivalToDestination	departureFromAirport	flightDuration
1	8.0	0.0	8.0
6	9.3255225409	5.3255225409	4.0
4	11.3255225409	3.3255225409	8.0
7	11.3255225409	6.3255225409	5.0
5	13.3255225409	4.3255225409	9.0
9	14.3255225409	8.3255225409	6.0
3	15.3255225409	2.3255225409	13.0
2	15.3255225409	1.3255225409	14.0
10	16.3255225409	9.3255225409	7.0
8	17.3255225409	7.3255225409	10.0
16	18.3255225409	15.3255225409	3.0
13	18.3255225409	12.3255225409	6.0
11	18.3255225409	10.3255225409	8.0
15	20.3255225409	14.3255225409	6.0
14	21.3255225409	13.3255225409	8.0
17	26.8064358027	16.8064358027	10.0
19	27.4514820815	23.4514820815	4.0
18	31.4379383512	20.4379383512	11.0
20	36.4514820815	24.4514820815	12.0
23	36.7767495295	28.7767495295	8.0
24	40.7767495295	29.7767495295	11.0
21	60.7767495295	26.7767495295	34.0
25	62.7767495295	56.7767495295	6.0
12	63.3255225409	11.3255225409	52.0
22	106.7767495295	27.7767495295	79.0
26	108.7767495295	57.7767495295	51.0
29	110.7767495295	104.7767495295	6.0
27	111.7767495295	58.7767495295	53.0
30	113.7767495295	108.7767495295	5.0
28	113.7767495295	103.7767495295	10.0
31	117.7767495295	109.7767495295	8.0
34	118.7767495295	112.7767495295	6.0
32	119.7767495295	110.7767495295	9.0
33	120.7767495295	111.7767495295	9.0
35	121.7767495295	114.7767495295	7.0
36	122.7767495295	115.7767495295	7.0
39	125.7767495295	118.7767495295	7.0
41	127.7767495295	120.7767495295	7.0
40	127.7767495295	119.7767495295	8.0
37	129.7767495295	116.7767495295	13.0
42	131.7767495295	121.7767495295	10.0
46	131.7767495295	125.7767495295	6.0
47	133.7767495295	127.7767495295	6.0
45	133.7767495295	124.7767495295	9.0
43	135.7767495295	122.7767495295	13.0
44	137.7767495295	123.7767495295	14.0
50	137.7767495295	131.7767495295	6.0
48	138.7767495295	128.7767495295	10.0
51	139.7767495295	133.7767495295	6.0
49	141.7767495295	129.7767495295	12.0
54	150.7767495295	137.7767495295	13.0
38	151.7767495295	117.7767495295	34.0
52	151.7767495295	134.7767495295	17.0
53	152.7767495295	135.7767495295	17.0
55	152.7767495295	145.7767495295	7.0
56	159.7767495295	146.7767495295	13.0
57	161.7767495295	147.7767495295	14.0
61	161.7767495295	151.7767495295	10.0
67	161.7767495295	157.7767495295	4.0
65	163.7767495295	155.7767495295	8.0
58	163.7767495295	148.7767495295	15.0
63	163.7767495295	153.7767495295	10.0
66	165.7767495295	156.7767495295	9.0
64	165.7767495295	154.7767495295	11.0
