aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
3	10.3255225409	0.0	23	1
3	11.3255225409	1.0	23	1
3	12.3255225409	2.0	23	1
18	28.4379383512	0.0	23	2
18	29.4379383512	1.0	23	2
12	60.3255225409	0.0	23	3
12	61.3255225409	1.0	23	3
27	108.7767495295	0.0	23	4
27	109.7767495295	1.0	23	4
40	124.7767495295	0.0	23	5
40	125.7767495295	1.0	23	5
43	130.7767495295	0.0	23	6
43	131.7767495295	1.0	23	6
43	132.7767495295	2.0	23	6
38	148.7767495295	0.0	23	7
38	149.7767495295	1.0	23	7
57	158.7767495295	0.0	23	8
57	159.7767495295	1.0	23	8
64	161.7767495295	0.0	23	9
64	162.7767495295	1.0	23	9
