aircraftId	flightMap	aircraftSpeed	fuel
1	{1,2,3,4,5,6,34}	10	20
2	{19,20,14,15,16,17,11,12,36}	1300	1540
3	{7,8,14,20,21,22,23,17,18,37}	1230	1230
4	{25,26,27,28,29,30,41}	290	220
5	{25,26,27,28,29,41}	110	120
6	{1,2,32}	200	200
7	{1,2,3,33}	40	400
8	{7,8,9,10,11,12,36}	100	100
9	{1,2,3,4,33}	80	100
10	{1,2,3,4,5,34}	200	100
11	{13,14,15,16,17,18,37}	200	300
12	{19,20,21,22,23,24,38}	100	200
13	{25,26,27,28,40}	120	130
14	{1,2,3,4,5,6,35}	100	200
15	{25,26,27,40}	130	150
16	{25,39}	100	100
17	{1,2,3,4,10,16,22,28,40}	3500	3800
18	{1,2,3,4,5,11,17,23,29,41}	2900	2900
19	{25,26,39}	140	120
20	{1,2,3,4,5,6,12,18,24,30,41}	400	800
21	{7,13,19,25,39}	1400	1800
22	{7,8,14,20,26,39}	200	200
23	{7,8,9,15,21,27,40}	1300	1900
24	{7,8,9,10,11,12,18,24,30,41}	1230	12340
25	{13,19,25,39}	1230	1230
26	{13,14,20,26,39}	2000	2000
27	{13,14,15,16,17,23,29,41}	2800	2500
28	{13,14,15,16,17,18,24,30,41}	30000	2000
29	{19,25,39}	1300	1500
30	{25,26,27,40}	1200	1300
31	{1,7,13,19,25,39}	1200	1500
32	{1,2,8,14,20,26,39}	1500	1900
33	{1,2,3,9,15,21,27,40}	2300	2900
34	{25,26,27,28,40}	3000	1400
35	{19,20,26,39}	1400	1400
36	{19,20,21,27,40}	1300	1400
37	{7,8,9,10,16,22,28,40}	3000	1300
38	{7,8,9,10,11,17,23,29,41}	1340	12340
39	{19,20,21,22,28,40}	1400	1500
40	{19,20,21,22,23,29,41}	400	500
41	{13,14,15,21,27,40}	3000	1300
42	{13,14,15,16,22,28,40}	2000	1230
43	{19,20,21,22,23,24,30,41}	200	2340
44	{25,26,27,28,29,30,41}	2000	2300
45	{25,19,13,7,1,32}	2000	1200
46	{13,7,1,2,32}	1400	1500
47	{7,1,2,3,33}	1600	1850
48	{25,19,13,14,8,9,3,33}	120	1300
49	{25,19,13,14,15,16,10,11,5,34}	1400	2560
50	{19,13,7,1,32}	1400	1800
51	{13,7,1,32}	1500	1800
52	{25,19,20,21,22,16,10,4,5,34}	1200	13450
53	{25,26,27,28,22,16,10,11,12,36}	1301	2340
54	{1,2,8,9,15,16,22,28,40}	1300	1340
55	{13,14,15,9,3,33}	1350	12340
56	{7,8,9,10,4,5,6,34}	12340	1230
57	{7,8,9,10,11,17,23,29,41}	1230	1230
58	{1,2,3,4,5,11,17,18,37}	200	120
59	{13,14,15,9,3,33}	1290	1230
60	{1,2,3,9,15,16,17,23,24,38}	2220	12340
61	{25,26,20,21,22,16,17,18,37}	230	2340
62	{1,2,3,4,5,6,34}	10	20
63	{19,20,14,15,16,17,11,12,36}	1300	1540
64	{7,8,14,20,21,22,23,17,18,37}	1230	1230
65	{25,26,27,28,29,30,41}	290	220
66	{25,26,27,28,29,41}	110	120
67	{1,2,32}	200	200
68	{1,2,3,33}	40	400
69	{7,8,9,10,11,12,36}	100	100
70	{1,2,3,4,33}	80	100
71	{1,2,3,4,5,34}	200	100
72	{13,14,15,16,17,18,37}	200	300
73	{19,20,21,22,23,24,38}	100	200
74	{25,26,27,28,40}	120	130
75	{1,2,3,4,5,6,35}	100	200
76	{25,26,27,40}	130	150
77	{25,39}	100	100
78	{1,2,3,4,10,16,22,28,40}	3500	3800
79	{1,2,3,4,5,11,17,23,29,41}	2900	2900
80	{25,26,39}	140	120
81	{1,2,3,4,5,6,12,18,24,30,41}	400	800
82	{7,13,19,25,39}	1400	1800
83	{7,8,14,20,26,39}	200	200
84	{7,8,9,15,21,27,40}	1300	1900
85	{7,8,9,10,11,12,18,24,30,41}	1230	12340
86	{13,19,25,39}	1230	1230
87	{13,14,20,26,39}	2000	2000
88	{13,14,15,16,17,23,29,41}	2800	2500
89	{13,14,15,16,17,18,24,30,41}	30000	2000
90	{19,25,39}	1300	1500
91	{25,26,27,40}	1200	1300
92	{1,7,13,19,25,39}	1200	1500
93	{1,2,8,14,20,26,39}	1500	1900
94	{1,2,3,9,15,21,27,40}	2300	2900
95	{25,26,27,28,40}	3000	1400
96	{19,20,26,39}	1400	1400
97	{19,20,21,27,40}	1300	1400
98	{7,8,9,10,16,22,28,40}	3000	1300
99	{25,26,39}	2000	2800
100	{25,26,27,28,29,41}	2340	1240
