currentTIme	numOfReachedAirplanes
8.0	1
9.3255225409	2
11.3255225409	3
11.3255225409	4
12.3255225409	5
13.3255225409	6
13.3255225409	7
14.3255225409	8
15.3255225409	9
16.3255225409	10
18.3255225409	11
18.3255225409	12
18.3255225409	13
20.3255225409	14
21.3255225409	15
22.3255225409	16
26.8064358027	17
27.4514820815	18
31.4379383512	19
32.7767495295	20
35.7767495295	21
36.4514820815	22
36.7767495295	23
40.7767495295	24
40.7767495295	25
43.7767495295	26
43.7767495295	27
45.7767495295	28
48.7767495295	29
49.7767495295	30
53.7767495295	31
54.7767495295	32
62.7767495295	33
64.7767495295	34
68.7767495295	35
75.7767495295	36
80.7767495295	37
89.7767495295	38
107.7767495295	39
111.7767495295	40
124.7767495295	41
