aircraftId	arrivalToAirport	delayInAirport	departureFromAirport
1	0.0	0.0	0.0
6	5.0299194824	0.2956030585	5.3255225409
4	3.143669637	0.1818529039	3.3255225409
7	5.6643715782	0.6611509627	6.3255225409
2	1.3255225409	2.220446049250313E-16	1.3255225409
5	3.2168567202	1.1086658207	4.3255225409
3	1.5514828083	0.7740397326	2.3255225409
9	6.1100480767	2.2154744642	8.3255225409
8	5.8615222579	1.464000283	7.3255225409
10	6.3978578378	2.9276647031	9.3255225409
16	14.1704695273	1.1550530136	15.3255225409
13	11.1441186357	1.1814039052	12.3255225409
11	8.5853688293	1.7401537116	10.3255225409
15	14.0664186398	0.2591039011	14.3255225409
14	11.4403116094	1.8852109315	13.3255225409
12	9.110258097	2.2152644439	11.3255225409
17	16.8064358027	0.0	16.8064358027
19	23.4514820815	0.0	23.4514820815
18	20.4379383512	0.0	20.4379383512
21	26.7767495295	0.0	26.7767495295
25	28.2418248306	2.5349246989	30.7767495295
20	23.9450154903	0.5064665912	24.4514820815
23	27.8055392137	0.9712103158	28.7767495295
29	29.9631597705	6.813589759	36.7767495295
24	27.945452584	1.8312969455	29.7767495295
30	30.9785445645	7.798204965	38.7767495295
27	29.6862715711	4.0904779584	33.7767495295
28	29.8102120162	5.9665375133	35.7767495295
34	35.0280229329	7.7487265966	42.7767495295
35	35.1727255426	9.6040239869	44.7767495295
31	31.718988027	8.0577615025	39.7767495295
36	35.8280448831	10.9487046464	46.7767495295
39	37.7674345115	15.009315018	52.7767495295
40	38.1740186541	18.6027308754	56.7767495295
33	32.6565876364	9.1201618931	41.7767495295
38	37.6308955318	13.1458539977	50.7767495295
41	39.9831671228	17.7935824067	57.7767495295
42	40.9147435744	21.8620059551	62.7767495295
22	26.8052485228	0.9715010067	27.7767495295
37	36.8068921259	10.9698574036	47.7767495295
49	53.7699164801	58.0068330494	111.7767495295
