aircraftId	arrivalToDestination	departureFromAirport	flightDuration
1	8.0	0.0	8.0
6	9.3255225409	5.3255225409	4.0
4	11.3255225409	3.3255225409	8.0
7	11.3255225409	6.3255225409	5.0
2	12.3255225409	1.3255225409	11.0
5	13.3255225409	4.3255225409	9.0
3	13.3255225409	2.3255225409	11.0
9	14.3255225409	8.3255225409	6.0
8	15.3255225409	7.3255225409	8.0
10	16.3255225409	9.3255225409	7.0
16	18.3255225409	15.3255225409	3.0
13	18.3255225409	12.3255225409	6.0
11	18.3255225409	10.3255225409	8.0
15	20.3255225409	14.3255225409	6.0
14	21.3255225409	13.3255225409	8.0
12	22.3255225409	11.3255225409	11.0
17	26.8064358027	16.8064358027	10.0
19	27.4514820815	23.4514820815	4.0
18	31.4379383512	20.4379383512	11.0
21	32.7767495295	26.7767495295	6.0
25	35.7767495295	30.7767495295	5.0
20	36.4514820815	24.4514820815	12.0
23	36.7767495295	28.7767495295	8.0
29	40.7767495295	36.7767495295	4.0
24	40.7767495295	29.7767495295	11.0
30	43.7767495295	38.7767495295	5.0
27	43.7767495295	33.7767495295	10.0
28	45.7767495295	35.7767495295	10.0
34	48.7767495295	42.7767495295	6.0
35	49.7767495295	44.7767495295	5.0
31	53.7767495295	39.7767495295	14.0
36	54.7767495295	46.7767495295	8.0
39	62.7767495295	52.7767495295	10.0
40	64.7767495295	56.7767495295	8.0
33	68.7767495295	41.7767495295	27.0
38	75.7767495295	50.7767495295	25.0
41	80.7767495295	57.7767495295	23.0
42	89.7767495295	62.7767495295	27.0
22	107.7767495295	27.7767495295	80.0
37	111.7767495295	47.7767495295	64.0
49	124.7767495295	111.7767495295	13.0
