aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
3	8.3255225409	0.0	15	1
3	9.3255225409	1.0	15	1
11	13.3255225409	0.0	15	2
11	14.3255225409	1.0	15	2
12	16.3255225409	0.0	15	3
12	17.3255225409	1.0	15	3
23	32.7767495295	0.0	15	4
23	33.7767495295	1.0	15	4
28	38.7767495295	0.0	15	5
28	39.7767495295	1.0	15	5
33	64.7767495295	0.0	15	6
33	65.7767495295	1.0	15	6
41	76.7767495295	0.0	15	7
41	77.7767495295	1.0	15	7
42	85.7767495295	0.0	15	8
42	86.7767495295	1.0	15	8
37	107.7767495295	0.0	15	9
37	108.7767495295	1.0	15	9
49	118.7767495295	0.0	15	10
49	119.7767495295	1.0	15	10
